Species,LikelihoodOfImmediatelyRemakingIncorrectChoice
Bumblebee,0.13333333
Bumblebee,0.53333333
Bumblebee,0.2
Bumblebee,0.71428571
Bumblebee,0.26666667
Bumblebee,0.23333333
Bumblebee,0.36666667
Bumblebee,0.53333333
Bumblebee,0.4
Bumblebee,0.16666667
Bumblebee,0.03333333
Bumblebee,0.23333333
Bumblebee,0.46666667
Bumblebee,0.6
Bumblebee,0.33333333
Bumblebee,0.66666667
Bumblebee,0.4
Bumblebee,0.7
Bumblebee,0.43333333
Bumblebee,0.33333333
Honeybee,0.4482759
Honeybee,0.32
Honeybee,0.2068966
Honeybee,0.2333333
Honeybee,0.1481481
Honeybee,0.2592593
Honeybee,0.6296296
Honeybee,0.1071429
Honeybee,0.6071429
Honeybee,0.2758621
Honeybee,0.2307692
Honeybee,0.1785714
Honeybee,0.2
Honeybee,0.5333333
Honeybee,0.3333333
Honeybee,0.3666667
Honeybee,0.5172414
Honeybee,0.2413793
Honeybee,0.3448276
Honeybee,0.6551724
Honeybee,0.4137931
Honeybee,0.9310345
Hummingbird,0
Hummingbird,0.03703704
Hummingbird,0.06329114
Hummingbird,0.05128205
Hummingbird,0.06382979
Hummingbird,0.08695652
Hummingbird,0.05769231
Hummingbird,0.14285714
Hummingbird,0
Hummingbird,0.01694915
