Species,ID,Bin,Perf
Bumblebee,1,1,0.8
Bumblebee,1,2,0.4
Bumblebee,1,3,0.2
Bumblebee,1,4,1
Bumblebee,1,5,0.6
Bumblebee,1,6,1
Bumblebee,2,1,0.8
Bumblebee,2,2,0.4
Bumblebee,2,3,0.8
Bumblebee,2,4,0.8
Bumblebee,2,5,0.4
Bumblebee,2,6,0.6
Bumblebee,3,1,0.4
Bumblebee,3,2,0.4
Bumblebee,3,3,0.8
Bumblebee,3,4,0.4
Bumblebee,3,5,0.8
Bumblebee,3,6,0.8
Bumblebee,4,1,0.6666667
Bumblebee,4,2,0.4
Bumblebee,4,3,0.6
Bumblebee,4,4,0.6
Bumblebee,4,5,0.6
Bumblebee,4,6,1
Bumblebee,5,1,0.6
Bumblebee,5,2,0.6
Bumblebee,5,3,0.6
Bumblebee,5,4,0.6
Bumblebee,5,5,0.4
Bumblebee,5,6,0.8
Bumblebee,6,1,0.4
Bumblebee,6,2,0.4
Bumblebee,6,3,0.6
Bumblebee,6,4,0.8
Bumblebee,6,5,0.8
Bumblebee,6,6,0.2
Bumblebee,7,1,0.8
Bumblebee,7,2,0.4
Bumblebee,7,3,0.2
Bumblebee,7,4,0.8
Bumblebee,7,5,1
Bumblebee,7,6,1
Bumblebee,8,1,0.2
Bumblebee,8,2,0.8
Bumblebee,8,3,0.8
Bumblebee,8,4,0.6
Bumblebee,8,5,0.6
Bumblebee,8,6,0.8
Bumblebee,9,1,0.2
Bumblebee,9,2,0.4
Bumblebee,9,3,0.2
Bumblebee,9,4,0.4
Bumblebee,9,5,0.2
Bumblebee,9,6,0.6
Bumblebee,10,1,0.4
Bumblebee,10,2,0.8
Bumblebee,10,3,0.6
Bumblebee,10,4,0.8
Bumblebee,10,5,0.6
Bumblebee,10,6,1
Bumblebee,11,1,0.4
Bumblebee,11,2,0.8
Bumblebee,11,3,0.6
Bumblebee,11,4,0.4
Bumblebee,11,5,0.6
Bumblebee,11,6,1
Bumblebee,12,1,0.8
Bumblebee,12,2,0.8
Bumblebee,12,3,0.6
Bumblebee,12,4,1
Bumblebee,12,5,0.4
Bumblebee,12,6,0.6
Bumblebee,13,1,0.4
Bumblebee,13,2,0.2
Bumblebee,13,3,0.2
Bumblebee,13,4,0.2
Bumblebee,13,5,0.6
Bumblebee,13,6,0.6
Bumblebee,14,1,0.2
Bumblebee,14,2,0.4
Bumblebee,14,3,0.4
Bumblebee,14,4,0.8
Bumblebee,14,5,0.8
Bumblebee,14,6,0.6
Bumblebee,15,1,0.4
Bumblebee,15,2,0.4
Bumblebee,15,3,0.4
Bumblebee,15,4,0.6
Bumblebee,15,5,1
Bumblebee,15,6,1
Bumblebee,16,1,0.6
Bumblebee,16,2,0.2
Bumblebee,16,3,0.2
Bumblebee,16,4,0.4
Bumblebee,16,5,0.4
Bumblebee,16,6,0.4
Bumblebee,17,1,0.8
Bumblebee,17,2,0.4
Bumblebee,17,3,0.4
Bumblebee,17,4,0.4
Bumblebee,17,5,0.8
Bumblebee,17,6,0.6
Bumblebee,18,1,0.4
Bumblebee,18,2,0.2
Bumblebee,18,3,0.4
Bumblebee,18,4,0.4
Bumblebee,18,5,0.4
Bumblebee,18,6,0.6
Bumblebee,19,1,0.2
Bumblebee,19,2,0.4
Bumblebee,19,3,0.4
Bumblebee,19,4,0.6
Bumblebee,19,5,0.4
Bumblebee,19,6,0.6
Bumblebee,20,1,0.4
Bumblebee,20,2,0.4
Bumblebee,20,3,0.4
Bumblebee,20,4,0.4
Bumblebee,20,5,0.4
Bumblebee,20,6,0.8
Honeybee,1,1,0.25
Honeybee,1,2,0.6
Honeybee,1,3,0.6
Honeybee,1,4,0.4
Honeybee,1,5,0.6
Honeybee,1,6,1
Honeybee,2,1,0.75
Honeybee,2,2,0.3333333
Honeybee,2,3,0.25
Honeybee,2,4,0.8
Honeybee,2,5,0.5
Honeybee,2,6,0.4
Honeybee,3,1,0
Honeybee,3,2,1
Honeybee,3,3,0.4
Honeybee,3,4,1
Honeybee,3,5,0.8
Honeybee,3,6,0.6
